CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CF01,CF02,CF04,UQ01,UQ02,UQ03,UQ04,D002_01,D002_02,D002_03,D002_04,D002_05,D002_06,D002_07,D002_08,D002_09,D003,D003_05,D004_99,D005_01,PR01_RV1,PR01_RV2,PR01_RV3,AU01_01,AU01_02,AU02_01,AU03_01,AU04_01,AU05,AU05_01,AU05_02,AU05_03,AU05_04,AU05_05,AU05_05a,AU06_01,AU18_01,AU19_01,AU20_01,AU07_01,AU08_01,AU09,AU09_01,AU09_02,AU09_03,AU09_04,AU09_05,AU09_06,AU10,AU10_01,AU10_02,AU10_03,AU10_04,AU10_05,AU10_06,AU11,AU13,AU14_01,AU14_02,AU16_01,AU16_02,AU16_03,AU16_04,AU16_05,AU16_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
66,,,base,interview,06/09/2021 13:18,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,5,5,test,test,test,1,1,1,1,1,2,,test,,,,5,test,1,1,1,1,1,1,2,1,1,1,1,1,1,2,4,-9,,,,,,,,,15,7,8,141,31,155,,,357,,06/09/2021 13:24,0,0,6,6,33,33,2.73,139
67,,,base,interview,06/09/2021 13:24,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13,test,,,,1,1,test,test,test,1,2,1,1,1,1,,test,,,,1,test,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,test,test,test,test,test,test,test,test,5,1,5,12,27,44,16,1,111,,06/09/2021 13:26,1,0,8,8,0,0,2.94,326
77,,,base,interview,06/09/2021 15:52,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,5,test,12,test,6126954e1e07054e5bf07e56,61361b3f24903104f34b1853,0tdidtz8ocb,5,5,test,test,test,1,2,1,1,1,1,,test,test,test,test,1,test,1,2,1,1,1,1,1,1,2,1,1,1,1,1,-9,1,test,test,test,test,test,test,test,test,5,2,5,21,10,16,29,2,90,,06/09/2021 15:53,1,0,8,8,2,2,2.85,326
80,,,base,interview,06/09/2021 16:24,,,-9,,,,,,,,,,,,,,,,,,6126954e1e07054e5bf07e56,61361b3f24903104f34b1853,0x13u6oez5ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,6,,06/09/2021 16:24,0,0,1,1,100,100,3,242
82,,,base,interview,06/09/2021 16:27,,,-9,,,,,,,,,,,,,,,,,,6126954e1e07054e5bf07e56,61361b3f24903104f34b1853,0aq6uewlwmz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,06/09/2021 16:27,0,0,1,1,100,100,3,500
83,,,base,interview,06/09/2021 16:28,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,test,test,test,6126954e1e07054e5bf07e56,61361b3f24903104f34b1853,043qhp6beoqe,1,1,test,test,test,1,1,1,1,1,2,test,test,test,test,test,1,test,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,test,test,test,test,test,test,test,test,7,6,4,23,5,13,12,2,72,,06/09/2021 16:29,1,0,8,8,0,0,2.94,352
84,,,base,interview,06/09/2021 16:32,,,1,1,1,1,1,,,,,,,,,,,,,,61349631eabad3ad4210e19f,61361b3f24903104f34b1853,6136265a1fb4d202d64b16e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,23,137,,,,,,108,,06/09/2021 16:35,0,0,3,3,0,0,1.03,16
85,,,base,interview,06/09/2021 16:33,,,1,1,1,1,1,4,5,3,4,4,6,5,6,6,1,,53,south africa,61361a2ba712ea1231d1b3db,61361b3f24903104f34b1853,613626a049ed8fd4319be570,5,4,using one form of authentication all the time will be easier,30,Id picture size,1,1,1,2,1,1,,sometimes we use certain devices outside the house or spaces or indoors,sometimes it takes a while especially when logging in from another form device,will be quick and easy,it will be much safer with a password to access,3,cloud/drive storage,5,2,2,2,2,2,1,5,2,2,2,2,2,1,4,1,i would prefer using a daily item for my 3D authentication something that i always use on a day to day basis and that would be my house key remote,blue,"touch
configuration
assembly",touch,"Touch
configuration",key remote button- the remote intails of 4 buttons that i would have to press/assemble first before i can access whatever i need," -safety
-authenticity
-easy to nagivigate around
-hard to crack
-another option to autheniciate",no,15,3,58,277,45,555,64,4,1021,,06/09/2021 16:50,1,0,8,8,0,0,1.54,79
86,,,base,interview,06/09/2021 16:33,,,1,1,1,1,1,2,4,2,4,4,3,4,4,4,2,,23,Italy,5bcd11401662020001fe82c1,61361b3f24903104f34b1853,613626d158c72220eadc912b,4,4,It's easy and secure,20s,5cm,1,1,1,2,1,1,,it's useful everywhere,it shouldn't be too long to authenticate,too big and it's too crowded,to be secure,4,in wallet,2,1,2,1,1,2,1,4,2,2,2,2,1,1,4,1,A star,Blue or red,all of them,three of them,"Touch,assembly,configuration",rotate the star like object,"easyness to use
quality of the material
accessibility
recyclable material
uniqueness
",No,7,3,34,205,37,401,45,4,736,,06/09/2021 16:46,1,0,8,8,0,0,1.9,107
87,,,base,interview,06/09/2021 16:35,,,1,1,1,1,1,4,5,2,5,5,5,4,2,4,2,,28,united kingdom,61361d90a8de6cea2e087c59,61361b3f24903104f34b1853,613626fd4b1ea4bce915c4db,4,4,yes I would as long as I could have a choice between standard authentication and and authentication object,2 seconds,a pen,1,2,1,1,1,1,,I rarely use my phone outdoors for accessing emails etc on the move. I only access them outdoors.,"any longer than that would seem too long, and therefore i would prefer standard anthentication especailly for emails that i need to access quickly sometimes",It needs to fit in your pocket at least. It's no good being bigger as it becomes less discrete and I wouldnt bring around with me. ,easy to access. got my keys in my pockets at all times. or a lanyard or something similar. Could be incorporated into an ID badge so multiuse object. ,5,can attach to a key ring ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,4,1,I would like to use a rectangular shape the same size a credit card or ID badge. ,multicoloured custom design,I would be most likely to use only touch as it would be the easiset. using any of the others would be time consuming. I could only see the others working if I was accessing top secret material. ,1,1 touch ,I would touch the card against my phone,"1. ease of use
2. fun
can be easily stored
change the level of interactions if needed
custom authenticating action e.g two taps on the phone screen",no,104,37,52,409,55,417,41,4,1119,,06/09/2021 16:53,1,0,8,8,0,0,1.1,11
